sample_id	sample_type	sample_substance_name	organism_kingdom	organism_phylum	organism_class	organism_order	organism_family	organism_genus	organism_species	organism_organe	organism_broad_organe	organism_tissue	organism_subsystem	sample_plate_id	ms_filename	ms_injection_date	tcruzi_activity_class
VGF150_G11	sample	V113913GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria grevei	green stems	green vegetative	green tissue	aboveground	VGF150	VGF150_G11.mzXML	22/04/2017	Inactive
VGF150_H02	sample	V113830GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Adansonia	Adansonia za	leaves	photosynthetic	green tissue	aboveground	VGF150	VGF150_H02.mzXML	22/04/2017	Inactive
VGF150_H03	sample	V113849GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Artocarpus	Artocarpus altilis	leaves	photosynthetic	green tissue	aboveground	VGF150	VGF150_H03.mzXML	22/04/2017	Inactive
VGF150_H04	sample	V113857GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Brunfelsia	Brunfelsia grandiflora	green stems	green vegetative	green tissue	aboveground	VGF150	VGF150_H04.mzXML	22/04/2017	Inactive
VGF150_H05	sample	V113865GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Viguieranthus	Viguieranthus alternans	leaves	photosynthetic	green tissue	aboveground	VGF150	VGF150_H05.mzXML	22/04/2017	Inactive
VGF150_H06	sample	V113873GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Senna	Senna meridionalis	leaves	photosynthetic	green tissue	aboveground	VGF150	VGF150_H06.mzXML	22/04/2017	Inactive
VGF150_H07	sample	V113881GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Breonadia	Breonadia salicina	seeds	reproductive	green tissue	aboveground	VGF150	VGF150_H07.mzXML	22/04/2017	Inactive
VGF150_H08	sample	V113889GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Chadsia	Chadsia grevei	roots	roots	root tissue	belowground	VGF150	VGF150_H08.mzXML	22/04/2017	Active
VGF150_H09	sample	V113897GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Burseraceae	Commiphora	Commiphora brevicalyx	bark	woody vegetative	woody tissue	aboveground	VGF150	VGF150_H09.mzXML	22/04/2017	Inactive
VGF150_H10	sample	V113906GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Burseraceae	Commiphora	Commiphora monstruosa	leaves	photosynthetic	green tissue	aboveground	VGF150	VGF150_H10.mzXML	22/04/2017	Inactive
VGF150_H11	sample	V113914GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria laevigata	leaves	photosynthetic	green tissue	aboveground	VGF150	VGF150_H11.mzXML	22/04/2017	Inactive
VGF151_A02	sample	V113915GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria laevigata	fruits	reproductive	green tissue	aboveground	VGF151	VGF151_A02.mzXML	14/04/2017	Inactive
VGF151_A03	sample	V113923GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton isomonensis	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_A03.mzXML	14/04/2017	Inactive
VGF151_A04	sample	V113931GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptostegia	Cryptostegia madagascariensis	fruits	reproductive	green tissue	aboveground	VGF151	VGF151_A04.mzXML	14/04/2017	Inactive
VGF151_A05	sample	V113939GP-01	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Cyphostemma	Cyphostemma elephantopus	multiple	roots	root tissue	belowground	VGF151	VGF151_A05.mzXML	14/04/2017	Inactive
VGF151_A06	sample	V113948GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Dodonaea	Dodonaea viscosa	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_A06.mzXML	14/04/2017	Inactive
VGF151_A07	sample	V113956GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Dombeya	Dombeya lucida	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_A07.mzXML	14/04/2017	Inactive
VGF151_A08	sample	V113964GP-01	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	Eucalyptus robusta	fruits	reproductive	green tissue	aboveground	VGF151	VGF151_A08.mzXML	14/04/2017	Inactive
VGF151_A09	sample	V113980GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Flacourtia	Flacourtia indica	bark	woody vegetative	woody tissue	aboveground	VGF151	VGF151_A09.mzXML	14/04/2017	Inactive
VGF151_A10	sample	V113988GP-01	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Gladiolus	Gladiolus dalenii	seeds	reproductive	green tissue	aboveground	VGF151	VGF151_A10.mzXML	14/04/2017	Inactive
VGF151_A11	sample	V113997GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Grewia	Grewia microcyclea	fruits	reproductive	green tissue	aboveground	VGF151	VGF151_A11.mzXML	14/04/2017	Inactive
VGF151_B02	sample	V113916GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria laevigata	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_B02.mzXML	14/04/2017	Inactive
VGF151_B03	sample	V113924GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton mavoravina	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_B03.mzXML	14/04/2017	Inactive
VGF151_B04	sample	V113932GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptostegia	Cryptostegia madagascariensis	multiple	multiple	multiple		VGF151	VGF151_B04.mzXML	14/04/2017	Inactive
VGF151_B05	sample	V113940GP-01	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Cyphostemma	Cyphostemma laza	multiple	roots	root tissue	belowground	VGF151	VGF151_B05.mzXML	14/04/2017	Inactive
VGF151_B06	sample	V113949GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Dodonaea	Dodonaea viscosa	multiple	roots	root tissue	belowground	VGF151	VGF151_B06.mzXML	14/04/2017	Inactive
VGF151_B07	sample	V113957GP-01	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Ehretiaceae	Ehretia	Ehretia angolensis	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_B07.mzXML	14/04/2017	Inactive
VGF151_B08	sample	V113965GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia cedrorum	bark	woody vegetative	woody tissue	aboveground	VGF151	VGF151_B08.mzXML	14/04/2017	Inactive
VGF151_B09	sample	V113981GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Flacourtia	Flacourtia indica	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_B09.mzXML	14/04/2017	Inactive
VGF151_B10	sample	V113989GP-01	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Gladiolus	Gladiolus dalenii	multiple	roots	root tissue	belowground	VGF151	VGF151_B10.mzXML	14/04/2017	Inactive
VGF151_B11	sample	V113998GP-01	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Gymnosporia	Gymnosporia linearis	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_B11.mzXML	14/04/2017	Inactive
VGF151_C02	sample	V113917GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria retusa	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_C02.mzXML	14/04/2017	Inactive
VGF151_C03	sample	V113925GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton mavoravina	multiple	roots	root tissue	belowground	VGF151	VGF151_C03.mzXML	14/04/2017	Inactive
VGF151_C04	sample	V113933GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptostegia	Cryptostegia madagascariensis	multiple	roots	root tissue	belowground	VGF151	VGF151_C04.mzXML	14/04/2017	Inactive
VGF151_C05	sample	V113941GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_C05.mzXML	14/04/2017	Inactive
VGF151_C06	sample	V113950GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dolichos	Dolichos fangitsa	bark	woody vegetative	woody tissue	aboveground	VGF151	VGF151_C06.mzXML	14/04/2017	Inactive
VGF151_C07	sample	V113958GP-01	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Ehretiaceae	Ehretia	Ehretia cymosa	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_C07.mzXML	14/04/2017	Inactive
VGF151_C08	sample	V113968GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia cedrorum	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_C08.mzXML	14/04/2017	Inactive
VGF151_C09	sample	V113982GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Flacourtia	Flacourtia indica	seeds	reproductive	green tissue	aboveground	VGF151	VGF151_C09.mzXML	14/04/2017	Inactive
VGF151_C10	sample	V113990GP-01	Plantae	Tracheophyta	Magnoliopsida	Proteales	Proteaceae	Grevillea	Grevillea robusta	bark	woody vegetative	woody tissue	aboveground	VGF151	VGF151_C10.mzXML	14/04/2017	Inactive
VGF151_C11	sample	V113999GP-01	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Gymnosporia	Gymnosporia linearis	multiple	roots	root tissue	belowground	VGF151	VGF151_C11.mzXML	14/04/2017	Inactive
VGF151_D02	sample	V113918GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria retusa	flowers	reproductive	green tissue	aboveground	VGF151	VGF151_D02.mzXML	14/04/2017	Inactive
VGF151_D03	sample	V113926GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton mavoravina	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_D03.mzXML	14/04/2017	Inactive
VGF151_D04	sample	V113934GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptostegia	Cryptostegia madagascariensis	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_D04.mzXML	14/04/2017	Inactive
VGF151_D05	sample	V113942GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium	multiple	roots	root tissue	belowground	VGF151	VGF151_D05.mzXML	14/04/2017	Inactive
VGF151_D06	sample	V113951GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dolichos	Dolichos fangitsa	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_D06.mzXML	14/04/2017	Inactive
VGF151_D07	sample	V113959GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Restionaceae	Elegia	Elegia microcarpa	bark	woody vegetative	woody tissue	aboveground	VGF151	VGF151_D07.mzXML	14/04/2017	Inactive
VGF151_D08	sample	V113972GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia alluaudii	multiple	roots	root tissue	belowground	VGF151	VGF151_D08.mzXML	14/04/2017	Inactive
VGF151_D09	sample	V113983GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Flacourtia	Flacourtia indica	multiple	roots	root tissue	belowground	VGF151	VGF151_D09.mzXML	14/04/2017	Inactive
VGF151_D10	sample	V113992GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Grewia	Grewia barorum	bark	woody vegetative	woody tissue	aboveground	VGF151	VGF151_D10.mzXML	14/04/2017	Inactive
VGF151_D11	sample	V114000GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Stilbaceae	Halleria	Halleria ligustrifolia	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_D11.mzXML	14/04/2017	Inactive
VGF151_E02	sample	V113919GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria retusa	seeds	reproductive	green tissue	aboveground	VGF151	VGF151_E02.mzXML	14/04/2017	Inactive
VGF151_E03	sample	V113927GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton meridionalis	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_E03.mzXML	14/04/2017	Inactive
VGF151_E04	sample	V113935GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Cynanchum	Cynanchum menarandrense	multiple	multiple	multiple		VGF151	VGF151_E04.mzXML	14/04/2017	Inactive
VGF151_E05	sample	V113943GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_E05.mzXML	14/04/2017	Inactive
VGF151_E06	sample	V113952GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dolichos	Dolichos fangitsa	multiple	multiple	multiple		VGF151	VGF151_E06.mzXML	14/04/2017	Inactive
VGF151_E07	sample	V113960GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Restionaceae	Elegia	Elegia microcarpa	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_E07.mzXML	14/04/2017	Inactive
VGF151_E08	sample	V113975GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia pervilleana	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_E08.mzXML	14/04/2017	Inactive
VGF151_E09	sample	V113984GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Flacourtia	Flacourtia indica	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_E09.mzXML	14/04/2017	Inactive
VGF151_E10	sample	V113993GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Grewia	Grewia barorum	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_E10.mzXML	14/04/2017	Inactive
VGF151_E11	sample	V114001GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Stilbaceae	Halleria	Halleria ligustrifolia	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_E11.mzXML	14/04/2017	Inactive
VGF151_F02	sample	V113920GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Crotalaria	Crotalaria retusa	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_F02.mzXML	14/04/2017	Inactive
VGF151_F03	sample	V113928GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton meridionalis	multiple	roots	root tissue	belowground	VGF151	VGF151_F03.mzXML	14/04/2017	Inactive
VGF151_F04	sample	V113936GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Cynanchum	Cynanchum mahafalense	multiple	multiple	multiple		VGF151	VGF151_F04.mzXML	14/04/2017	Inactive
VGF151_F05	sample	V113944GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium	fruits	reproductive	green tissue	aboveground	VGF151	VGF151_F05.mzXML	14/04/2017	Inactive
VGF151_F06	sample	V113953GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Dolichos	Dolichos fangitsa	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_F06.mzXML	14/04/2017	Inactive
VGF151_F07	sample	V113961GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Restionaceae	Elegia	Elegia microcarpa	fruits	reproductive	green tissue	aboveground	VGF151	VGF151_F07.mzXML	14/04/2017	Inactive
VGF151_F08	sample	V113977GP-01	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Euonymus	Euonymus perrieri	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_F08.mzXML	14/04/2017	Inactive
VGF151_F09	sample	V113985GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Givotia	Givotia madagascariensis	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_F09.mzXML	14/04/2017	Inactive
VGF151_F10	sample	V113994GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Grewia	Grewia barorum	multiple	roots	root tissue	belowground	VGF151	VGF151_F10.mzXML	14/04/2017	Inactive
VGF151_F11	sample	V114002GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Harungana	Harungana madagascariensis	seeds	reproductive	green tissue	aboveground	VGF151	VGF151_F11.mzXML	14/04/2017	Inactive
VGF151_G02	sample	V113921GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton isomonensis	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_G02.mzXML	14/04/2017	Inactive
VGF151_G03	sample	V113929GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton meridionalis	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_G03.mzXML	14/04/2017	Inactive
VGF151_G04	sample	V113937GP-01	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Cyphostemma	Cyphostemma elephantopus	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_G04.mzXML	14/04/2017	Inactive
VGF151_G05	sample	V113945GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium	seeds	reproductive	green tissue	aboveground	VGF151	VGF151_G05.mzXML	14/04/2017	Inactive
VGF151_G06	sample	V113954GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Dombeya	Dombeya greveana	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_G06.mzXML	14/04/2017	Inactive
VGF151_G07	sample	V113962GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Restionaceae	Elegia	Elegia microcarpa	seeds	reproductive	green tissue	aboveground	VGF151	VGF151_G07.mzXML	14/04/2017	Inactive
VGF151_G08	sample	V113978GP-01	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Euonymus	Euonymus perrieri	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_G08.mzXML	14/04/2017	Inactive
VGF151_G09	sample	V113986GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Givotia	Givotia madagascariensis	multiple	roots	root tissue	belowground	VGF151	VGF151_G09.mzXML	14/04/2017	Inactive
VGF151_G10	sample	V113995GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Grewia	Grewia barorum	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_G10.mzXML	14/04/2017	Inactive
VGF151_G11	sample	V114003GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana coffeoides	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_G11.mzXML	14/04/2017	Inactive
VGF151_H02	sample	V113922GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton isomonensis	multiple	roots	root tissue	belowground	VGF151	VGF151_H02.mzXML	14/04/2017	Inactive
VGF151_H03	sample	V113930GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptostegia	Cryptostegia madagascariensis	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_H03.mzXML	14/04/2017	Inactive
VGF151_H04	sample	V113938GP-01	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Cyphostemma	Cyphostemma elephantopus	multiple	multiple	multiple		VGF151	VGF151_H04.mzXML	14/04/2017	Inactive
VGF151_H05	sample	V113946GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_H05.mzXML	14/04/2017	Inactive
VGF151_H06	sample	V113955GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Dombeya	Dombeya greveana	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_H06.mzXML	14/04/2017	Inactive
VGF151_H07	sample	V113963GP-01	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	Corymbia citriodora	fruits	reproductive	green tissue	aboveground	VGF151	VGF151_H07.mzXML	14/04/2017	Inactive
VGF151_H08	sample	V113979GP-01	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Euonymus	Euonymus perrieri	multiple	roots	root tissue	belowground	VGF151	VGF151_H08.mzXML	14/04/2017	Inactive
VGF151_H09	sample	V113987GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Givotia	Givotia madagascariensis	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_H09.mzXML	14/04/2017	Inactive
VGF151_H10	sample	V113996GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Grewia	Grewia microcyclea	leaves	photosynthetic	green tissue	aboveground	VGF151	VGF151_H10.mzXML	14/04/2017	Inactive
VGF151_H11	sample	V114004GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana coffeoides	green stems	green vegetative	green tissue	aboveground	VGF151	VGF151_H11.mzXML	14/04/2017	Inactive
VGF152_A02	sample	V114005GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana coffeoides	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_A02.mzXML	22/04/2017	Inactive
VGF152_A03	sample	V114013GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Jatropha	Jatropha mahafalensis	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_A03.mzXML	22/04/2017	Inactive
VGF152_A04	sample	V114021GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Kalanchoe	Kalanchoe arborescens	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_A04.mzXML	22/04/2017	Inactive
VGF152_A05	sample	V114029GP-01	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Maerua	Maerua nuda	multiple	roots	root tissue	belowground	VGF152	VGF152_A05.mzXML	22/04/2017	Inactive
VGF152_A06	sample	V114037GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Megistostegium	Megistostegium microphyllum	green stems	green vegetative	green tissue	aboveground	VGF152	VGF152_A06.mzXML	22/04/2017	Inactive
VGF152_A07	sample	V114070GP-01	Plantae	Tracheophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Nymphaea	Nymphaea nouchali	flowers	reproductive	green tissue	aboveground	VGF152	VGF152_A07.mzXML	22/04/2017	Inactive
VGF152_A08	sample	V114078GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Operculicarya	Operculicarya hyphaenoides	multiple	roots	root tissue	belowground	VGF152	VGF152_A08.mzXML	22/04/2017	Inactive
VGF152_A09	sample	V114088GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Paederia	Paederia argentea	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_A09.mzXML	22/04/2017	Inactive
VGF152_A10	sample	V114098GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus casticum	multiple	roots	root tissue	belowground	VGF152	VGF152_A10.mzXML	22/04/2017	Inactive
VGF152_A11	sample	V114106GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Plectaneia	Plectaneia stenophylla	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_A11.mzXML	22/04/2017	Inactive
VGF152_B02	sample	V114006GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana coffeoides	seeds	reproductive	green tissue	aboveground	VGF152	VGF152_B02.mzXML	22/04/2017	Inactive
VGF152_B03	sample	V114014GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Jatropha	Jatropha mahafalensis	seeds	reproductive	green tissue	aboveground	VGF152	VGF152_B03.mzXML	22/04/2017	Inactive
VGF152_B04	sample	V114022GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Kalanchoe	Kalanchoe arborescens	green stems	green vegetative	green tissue	aboveground	VGF152	VGF152_B04.mzXML	22/04/2017	Inactive
VGF152_B05	sample	V114030GP-01	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Maerua	Maerua nuda	green stems	green vegetative	green tissue	aboveground	VGF152	VGF152_B05.mzXML	22/04/2017	Inactive
VGF152_B06	sample	V114038GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Megistostegium	Megistostegium nodulosum	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_B06.mzXML	22/04/2017	Inactive
VGF152_B07	sample	V114071GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Obetia	Obetia madagascariensis	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_B07.mzXML	22/04/2017	Inactive
VGF152_B08	sample	V114079GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Operculicarya	Operculicarya pachypus	bark	woody vegetative	woody tissue	aboveground	VGF152	VGF152_B08.mzXML	22/04/2017	Inactive
VGF152_B09	sample	V114090GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Paederia	Paederia farinosa	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_B09.mzXML	22/04/2017	Inactive
VGF152_B10	sample	V114099GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus casticum	green stems	green vegetative	green tissue	aboveground	VGF152	VGF152_B10.mzXML	22/04/2017	Inactive
VGF152_B11	sample	V114107GP-01	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Pluchea	Pluchea grevei	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_B11.mzXML	22/04/2017	Inactive
VGF152_C02	sample	V114007GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Helmiopsis	Helmiopsis hily	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_C02.mzXML	22/04/2017	Inactive
VGF152_C03	sample	V114015GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Jatropha	Jatropha mahafalensis	multiple	roots	root tissue	belowground	VGF152	VGF152_C03.mzXML	22/04/2017	Inactive
VGF152_C04	sample	V114023GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Kalanchoe	Kalanchoe linearifolia	multiple	roots	root tissue	belowground	VGF152	VGF152_C04.mzXML	22/04/2017	Inactive
VGF152_C05	sample	V114031GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Malleastrum	Malleastrum horokoke	leaves	photosynthetic	green tissue	aboveground	VGF152	VGF152_C05.mzXML	22/04/2017	Inactive
